Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers,condition,Symptoms(Critical_stage),Medication(general)
,,,,,,,,,,,,,,,,,Lower RTI : Diagnosing and treating lower respiratory tract infections,"Lower RTI :In most cases, lower respiratory tract infections can be diagnosed clinically. This means that a healthcare provider can make the diagnosis by asking about your symptoms and listening to your lungs. More testing or imaging is not always needed. That said, a chest X-ray may be needed to diagnose pneumonia when listening to the lungs on a physical exam may not be enough. 

In some cases, nasal swabs that detect respiratory viruses can be done to find the cause of the lower respiratory tract infection. Because viral testing is expensive and does not usually change treatment, a nasal swab is not typically done. ",respiratory infection,,
,,,,,,,,,,,,,,,,,Lower RTI : Lower respiratory infections vs. upper respiratory infections,"Lower RTI :The difference between lower respiratory tract infections and upper respiratory tract infections is the location of the infection and symptoms. The upper respiratory tract is made up of the nose, sinuses, throat, and voice box. Symptoms of upper respiratory tract infections include sneezing, runny nose, sore throat, and sinus pressure. Like lower respiratory infections, upper respiratory tract infections are mostly caused by viruses. ",respiratory infection,,
Fever or chills,fever,fever,shortness of breath,loss of smell,,,,,,supplemental oxygen,"Rs 8,000-10,000 per day (including PPE and medicines)",Heat can stop coronavirus disease,In general mortality rate of the COVID �19 was 11.5%,,"Maintain a safe distance from others (at least 1 metre), even if they don’t appear to be sick.","A viral test tells you if you are infected with SARS-CoV-2, the virus that causes COVID-19, using samples that come from your nose or mouth. There are two types of viral tests: rapid tests and laboratory tests.",What is Covid 19?,"COVID-19 is a disease caused by a virus called SARS-CoV-2. Most people with COVID-19 have mild symptoms, but some people become severely ill.",covid,,Isolate yourself in a well ventilated room.
Cough,cough,cough,fatigue,chest pain,,,,,,assisted ventilation,"13,000-15,000 per day (including PPE and medicines, Isolation beds, ICUs without ventilators)",5G mobile networks spread coronavirus,Among critical illness studies mortality rate is 40.5%,,"Wear a mask in public, especially indoors or when physical distancing is not possible.","Rapid Point-of-Care tests, test performed or interpreted by someone other than the individual being tested, can be performed in minutes and can include antigen and some NAATs.",How does the Virus Spread?,"1.Breathing in air when close to an infected person who is exhaling small droplets and particles that contain the virus.2.Having these small droplets and particles that contain virus land on the eyes, nose, or mouth, especially through splashes and sprays like a cough or sneeze.3.Touching eyes, nose, or mouth with hands that have the virus on them.",covid,,"Use a triple layer medical mask, discard mask after 8 hours of use or earlier if they become wet or visibly soiled. In the event of a caregiver entering the room, both caregiver and patient may consider using N 95 mask."
Shortness of breath or difficulty breathing,trouble breathing,difficult breathing,chills and shivers,persistent cough,,,,,,"require hospitalization, with treatment that might include antivirals such as remdesivir",,COVID 19 Kills,,,"Choose open, well-ventilated spaces over closed ones. Open a window if indoors.",Laboratory tests can take days to complete and include RT-PCR and other types of NAATs.,What is Community Spread?,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.",covid,,Mask should be discarded only after disinfecting it with 1% Sodium Hypochlorite.
Fatigue,diarrhea,loss of taste,,,,,,,,,,Drinking alcohol Cures COVID 19,,,Take rest and drink a lot of fluids to maintain adequate hydration.,An antibody test (also known as a serology test) can detect antibodies to SARS-CoV-2 in your blood.,How can I Protect Myself?,"Wear a Mask, Maintain Social Distance, Sanitize your hands",covid,,Take rest and drink a lot of fluids to maintain adequate hydration.
Muscle or body aches,vomiting,decreasing of oxygen levels,,,,,,,,,,COVID 19 doesnt spread in a hot and humid climate,,,Get vaccinated when it’s your turn. Follow local guidance about vaccination.,,What are the symptoms and complications that COVID-19 can cause?,People with COVID-19 have reported a wide range of issues from mild symptoms to severe illness.,covid,,Follow respiratory etiquettes at all times.
Headache,nausea,,,,,,,,,,,Hot showers can protect from this Coronavirus,,,Cover your nose and mouth with your bent elbow or a tissue when you cough or sneeze.,,Can someone test negative and later test positive on a viral test for COVID-19?,"Yes, it is possible. A negative test does not rule out an infection.",covid,,Frequent hand washing with soap and water for at least 40 seconds or clean with alcohol-based sanitizer.
New loss of taste or smell,,,,,,,,,,,,,,,Stay home if you feel unwell.,,What is an N95 filtering facepiece respirator (FFR)?,"An N95 FFR is a type of respirator which removes particles from the air that are breathed through it. These respirators filter out at least 95% of very small (0.3 micron) particles. N95 FFRs are capable of filtering out all types of particles, including bacteria and viruses.",covid,,Don’t share personal items with other people in the household.
Sore throat,,,,,,,,,,,,,,,,,Am I still considered “fully vaccinated” if I don’t get a booster?,"Yes, the definition of fully vaccinated has not changed and does not include a booster.",covid,,"Ensure cleaning of surfaces in the room that are touched often (tabletops, doorknobs, handles, etc.) with 1% hypochlorite solution."
Congestion or runny nose,,,,,,,,,,,,,,,,,,,covid,,Monitor temperature daily.
Nausea or vomiting,,,,,,,,,,,,,,,,,,,covid,,Monitor oxygen saturation with a pulse oximeter daily.
Diarrhea,,,,,,,,,,,,,,,,,,,covid,,Connect with the treating physician promptly if any deterioration of symptoms is noticed.
fever,Moderate Dehydration - Urinates less frequently (less than 6 wet diapers per day),,,Data are limited on health outcomes of dengue in pregnancy and effects of maternal infection on the developing fetus.,,,Rest as much as possible,,,Blood pressure monitoring,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values (dengue with warning sign - pediatrics) - 9371 (5871–20 792)",About one in four people infected with dengue will get sick.,mortality rate is�less than 1% when detected early and with access to proper medical care.,,Wear long-sleeved shirts and long pants.,"Dengue NS1 Antigen Test - This is a blood test to detect the dengue virus early in the course of an infection.It should be done within the first five days of the appearance of symptoms because after five-seven days, the chances of false positive and negative results are high.This test does not differentiate between different dengue serotypes.The NS1 Antigen test is comparatively cheaper than other lab tests for dengue.",Which type of doctor should one consult for dengue fever?,Consult a physician or an infectious disease doctor.,dengue,Stomach or belly pain,There is no specific medicine to treat dengue.
Nausea,"Moderate Dehydration - Dry mouth, tongue, lips",,,"Perinatal transmission can occur during pregnancy, and peripartum maternal infection may increase the likelihood of symptomatic infection in the newborn.",,,"Provide fluids such a water, juice, milk, or drinks with added electrolytes.",,,Intravenous (IV) fluid and electrolyte replacement,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(dengue with warning sign - adults) - 18,555 (13,628–25,151)","For people who get sick with dengue, symptoms can be mild or severe","When treated, severe dengue has a mortality rate of 2%-5%",,Keep mosquitoes outside: Use screens on windows and doors.,"Immunoglobulin M (IgM) - This test looks for IgM (antibodies) in the blood, which appear in the early course of the disease (acute infection). The test can also help to differentiate between primary (first time infection) and secondary (second time infection with any of the dengue virus) infection. It is advised to undergo a dengue antibody IgM test, if you are experiencing symptoms of dengue for more than a week or 10 days.This test is not advised if you have a secondary dengue infection.",Is dengue contagious from person to person?,"No, dengue is not contagious and cannot be spread merely by person to person contact. The dengue virus is carried and transmitted by mosquitoes. If a mosquito bites someone with dengue, and then bites another person, the second person can get infected. This is usually how dengue spreads and can sometimes become an epidemic.",dengue,tenderness,Take acetaminophen (also known as paracetamol outside of the United States) to control fever and relieve pain.
vomiting,Moderate Dehydration - Few or no tears when crying,,,,,,Sponge the person’s skin with cool water to reduce fever,,,Transfusion to replace blood loss,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(severe dengue - adults) - 46,538 (25,144–66,894)",Severe dengue can be life-threatening within a few hours and often requires care at a hospital," when left untreated, the mortality rate is as high as 20%.",,Use air conditioning if available.,"Immunoglobulin G (IgG) - The test is used to detect infection in the later course of the disease because the level of IgG in the blood tends to increase slowly.To distinguish between primary and secondary dengue infections, IgG/IgM ratio test is commonly used.You can get an IgG antibody test for dengue after a week.This test is not advised for acute infections.",Can I be infected with dengue a second or more times?,"Yes. Dengue is caused by four different viral strains and infection with one virus does not protect a person against infection from the other three strains. Hence one can be infected by dengue four times. Subsequent infections increase the risk for the most serious forms of dengue, such as dengue hemorrhagic fever and dengue shock syndrome.",dengue,Vomiting (at least 3 times in 24 hours),"Do not take ibuprofen, aspirin, or aspirin-containing drugs."
"Moderate Dehydration - Thirst, dry or sticky mouth",Moderate Dehydration - Sunken soft spot of the head,,,,,,Prevent dehydration,,,Supportive care in a hospital,"Expenses from Private Not-for-profit hospitalin rupees, median(IQR) values(severe dengue - pediatrics) - 60,305 (25,872–72,186)","An estimated 400 million dengue infections occur worldwide each year, with about 96 million resulting in illness",,,Use Environmental Protection Agency (EPA)-registered insect repellent.,Dengue RNA PCR test - It is a primary test used to detect dengue virus in the early course of the infection. A positive result not only confirms the infection but also helps to identify the different serotypes of the dengue virus.The dengue RNA PCR test can provide positive results if the test is done within five days after the symptoms start to appear.The test can only be performed in certain laboratories.,What kinds of mosquito repellents are safe?,It is safe to use a repellent that has DEET (diethyltoluamide or diethylmethylbenzamide) or picaridin. One should however be careful when using it on children and infants. Please read the safety label of the manufacturer before usage.,dengue,Bleeding from the nose or gums,Doctors can diagnose dengue infection with a blood test to check for the virus or antibodies to it.
"Moderate Dehydration - Not peeing very much, dark yellow pee",Severe Dehydration - Urinates 1-2 times per day,,,,,,,,,,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values (dengue without warning sign - pediatrics) - 11,615 (5,524–27,682)",Most cases occur in tropical areas of the world,,,,,Where do most outbreaks of dengue occur?,"Outbreaks of dengue occur primarily in areas where Aedes aegypti mosquitoes breed and thrive, i.e., mostly in tropical and sub-tropical areas of the world. These include India, Bangladesh, Pakistan, Southeast Asia, parts of South and Central Africa, Caribbean, Mexico, and parts of South and Central America. Dengue viruses may be introduced into other areas by travelers who become infected while visiting the tropics where dengue commonly exists.",dengue,Vomiting blood,
"Moderate Dehydration - Dry, cool skin","Severe Dehydration - Cool, discolored hands or feet",,,,,,,,,,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(dengue without warning sign - adults) - 20,204 (11,276–34,304)",Dengue fever is caused by a virus. A certain type of mosquito (Aedes) passes the virus to people through its bites.,,,,,Can one treat dengue with antibiotics?,"No, since dengue is caused by a virus, antibiotics are not effective against it and should not be used.",dengue,blood in the stool,
severe headache,"Severe Dehydration - Cool, discolored hands or feet",,,,,,,,,,,Dengue can range from asymptomatic infection or mild illness to severe disease.,,,,, Is dengue a deadly disease? Can one die from dengue fever?,"Although dengue fever is a serious and often painful condition, it is not a deadly disease and does not lead to death. With proper care, most people infected with dengue usually make a full recovery unless complications occur. These complications may include Dengue Hemorrhagic Fever (DHF) and Dengue Shock Syndrome (DSS). In some of these cases death can occur but is rare. With proper care and treatment, even patients with DHF or DSS can make a full recovery. Hospitalization is highly recommended in cases of DHF or DSS and greatly increases the chances of survival.",dengue,Cold clammy skin,
Fatigue,"Severe Dehydration - Sleepiness, lack of energy, very fussy",,,,,,,,,,,"Dengue is caused by one of any of four related viruses: Dengue virus 1, 2, 3, and 4.  For this reason, a person can be infected with a dengue virus as many as four times in his or her lifetime.",,,,,What can be done to reduce the risk of acquiring dengue?,Reducing stagnant water bodies that are the main breeding centers for the female Aedes mosquitoes to lay their eggs reduces the risk of acquiring dengue.,dengue,Difficulty breathing,
nose bleed,,,,,,,,,,,,,,,,,How can we prevent epidemics of dengue hemorrhagic fever (DHF)?,Development of an effective vaccine against the dengue virus is the most promising solution. Others are eradication of the Aedes aegypti vector and spraying ultra-low volume (ULV) insecticides to kill adult mosquitoes. Both methods have not been viable.,dengue,"Feeling tired, restless, or irritable",
easy bruising,,,,,,,,,,,,,,,,,Is dengue fatal?,Severe dengue or dengue hemorrhagic fever can be fatal.,dengue,"Severe Dehydration - rapid heart rate, breathing",
bleeding gums,,,,,,,,,,,,,,,,," If I have had dengue fever, can I get it again?","Yes, a single attack of dengue fever only protects the person against the particular virus serotype. The person can still be infected by the other 3 virus serotypes.",dengue,"Severe Dehydration - Not peeing very much, dark yellow pee",
Swollen glands,,,,,,,,,,,,,,,,,Can dengue fever spread through saliva?,No. It can only spread through the bite of certain female Aedes mosquito species.,dengue,,
Rash which appears two to five days after the onset of fever,,,,,,,,,,,,,,,,,What does the dengue fever antibody test mean?,"In the antibody test, 2 classes of antibodies IgG and IgM (produced in response to the infection) are detected. A positive IgM plus negative IgG will indicate a recent primary dengue infection while a positive IgG with a positive or negative IgM will indicate an infection that has occured in the past.",dengue,,
"Aches and pains (eye pain, typically behind the eyes, muscle, joint, or bone pain)",,,,,,,,,,,,,,,,,"What is Dengue fever (DF), dengue haemorrhagic fever (DHF ) and dengue shock syndrome ( DSS)?","Dengue infection is caused by a virus. It occurs commonly as dengue fever. Occasionally the patient suffering from dengue may develop bleeding from common sites like nose, gums or skin. Sometimes, the patient may have coffee ground vomiting or black coal tar like stools. It indicates bleeding from gastro- intestinal tract. The dengue fever with bleeding is called dengue haemorrhagic fever (DHF). It can be fatal if it remains unrecognized and not properly treated. Rarely the patient suffering from dengue haemorrhagic fever (DHF) may develop shock, then it is called dengue shock syndrome (DSS).",dengue,,
,,,,,,,,,,,,,,,,,When should Dengue be suspected?,"Dengue should be suspected when a person has sudden onset of fever. The fever is usually high 103-105 degrees F or 39-40 degrees C. It is accompanied with severe headache (mostly in the forehead), pain behind the eyes, body aches and pains, rash on the skin and nausea or vomiting. The fever lasts for 5-7 days. In some patients, fever comes down on 3rd or 4th day but comes back. All the above symptoms and signs may not be present in the patient. The patient feels much discomfort after the illness",dengue,,
,,,,,,,,,,,,,,,,,What can the society do to prevent dengue?,"The main strategy in the prevention and control of dengue is ""source reduction"", or prevention of breeding places. Community participation is the key to dengue prevention. Prevention of dengue relies heavily on preventing the mosquito breeding inside and in the vicinity of our homes. Every household should undertake simple measures to prevent water collections from becoming places for mosquito breeding by draining out water , by regular changing of water , cleaning flower vases and other water holding items or, in the case of unused items, by discarding/destroying them. The mosquito does not travel far, therefore "" every house cleaning"" will ensure that no breeding places exist, preventing dengue from occurring",dengue,,
,,,,,,,,,,,,,,,,,What should the doctors treating dengue do ?,Patients suspected to be suffering from dengue haemorrhagic fever or dengue shock syndrome should be admitted to a hospital without delay. The progress of these patients should be monitored regularly at 1-2 hours interval. Platelet counts and haematocrits should be monitored repeatedly to review the progress of patients. If the haematocrit levels fall dangerously then a blood transfusion should be considered. A fall of more than 20 % as compared to previous levels may be an indication for transfusion.If the haematocrit values rise the patient should be given fluids intravenously and the fluids carefully monitored to ensure that the patient does not get excess fluids. A rise of more than 20 % as compared to previous levels may be an indication for IV fluids. The doctor would decide based on best judgement of patient's condition.,dengue,,
,,,,,,,,,,,,,,,,,Are there any long term ill effects of dengue fever?,"Most people who suffer from dengue fever recover in 1-2 weeks time. Some may feel tired for several weeks. However, if symptoms persist after this period, consult a doctor.",dengue,,
,,,,,,,,,,,,,,,,,What are the warning signs and symptoms in dengue haemorrhagic fever (DHF) ?,"Generally the dengue haemorrhagic fever or dengue shock syndrome occur after 3-5 days of fever. By this time, fever has often come down. This may mislead many of us to believe that the patient is heading towards recovery. In fact, this is the most dangerous period that requires high vigilance from care-givers. The signs and symptoms that should be looked for are severe pain abdomen, persistent vomiting, bleeding from any site like, bleeding in the skin appearing as small red or purplish spots, nose bleed, bleeding from gums, passage of black stools like coal tar. Take the patient to the hospital whenever the first two signs, namely, severe pain in the abdomen and persistent vomiting are detected. Usually it is too late if we wait until bleeding has occurred. The most dangerous type of dengue is the dengue shock syndrome. It is recognized by signs like excessive thirst, pale and cold skin (due to very low blood pressure), restlessness and a feeling of weakness.",dengue,,
Heart attack: Chest pain or discomfort,,,,Angina (dull and heavy or sharp chest pain or discomfort),,,Medical Surgery,,,,"Per bed per day cost incurred by the hospital for admitted patients in Cardiac Care Unit, adult and pediatric cardiology ward was calculated to be Indian Rupee (INR) 28,144 (US$ 434), INR 22,210 (US$ 342) and INR 18,774 (US$ 289),","MYTH 1: If you have heart disease, you need to take it easy.",CVD death rate is 12%,Yeshasvini scheme,Choose healthy meals and snacks to help prevent heart disease and its complications. Be sure to eat plenty of fresh fruits and vegetables and fewer processed foods.,Physical exam and blood tests,What are the rules of thumb for a layman to take care of his heart?,"Diet - Less of carbohydrate, more of protein, less oil. Exercise - Half an hour's walk, at least five days a week; avoid lifts and avoid sitting for a longtime. Quit smoking. Control weight Control blood pressure and sugar.",heart diseases,,
 upper back or neck pain,,,,"Pain in the neck, jaw, or throat",,,Medication depending on type of heart disease,,,,"Overall, per patient cost of managing any cardiovascular illness in hospital was computed to be INR 2,25,293 (US $ 3476) and cost after including administrative overheads was estimated to be INR 2,47,822 (US $ 3824)","MYTH 2: If you take a cholesterol-lowering drug, you can eat anything.",,Tamil Nadu State Illness Assistance Society with a revolving fund of Rs. 15 crores as an initial corpus fund,Eating lots of foods high in saturated fat and trans fat may contribute to heart disease.,Electrocardiogram,Is eating non-veg food (fish) good for the heart?,No,heart diseases,,
 indigestion,,,,Pain in the upper abdomen or back,,,,,,,,MYTH 3: It's okay to have higher blood pressure when you're older.,,Rajiv Gandhi Arogya Yojana This is UP government's pilot project at Amethi for out patient care of cardiact problems.,"Eating foods high in fiber and low in saturated fats, trans fat, and cholesterol can help prevent high cholesterol.",Echocardiogram,It's still a grave shock to hear that an apparently healthy person underwent a cardiac arrest. How do we understand it in perspective?,This is called silent attack; that is why we recommend everyone past the age of 30 to undergo routine health checkups.,heart diseases,,
 heartburn,,,,Nausea,,,,,,,,MYTH 4: Diabetes won't cause heart disease if you take diabetes medication.,,"In 2004, the government of AP announced financial aid for the treatment of children aged 012 years suffering from heart diseases by utilizing facilities in government and private hospitals.",Limiting salt (sodium) in your diet can also lower your blood pressure.,Stress test,Are heart diseases hereditary?,yes,heart diseases,,
 nausea or vomiting,,,,Vomiting,,,,,,,,MYTH 5: You can lower your risk of heart disease with vitamins and supplements.,,Children are also referred from Gujarat at the discretion of the state-run UN Mehta cardiac center to Bangalore for advanced and complex heart surgeries. The entire cost of the surgery is borne by the state government.,Limiting sugar in your diet can lower your blood sugar level to prevent or help control diabetes.,Carotid ultrasound,What are the ways in which the heart is stressed? What practices do you suggest to de-stress?,Change your attitude towards life. Do not look for perfection in everything in life.,heart diseases,,
 extreme fatigue,,,,Fatigue,,,,,,,,"MYTH 6: If you have smoked for years, you can't reduce your risk of heart disease by quitting.",,,"Do not drink too much alcohol, which can raise your blood pressure. Men should have no more than 2 drinks per day, and women no more than 1 drink per day. For more information, visit CDCï¿½s Alcohol and Public Health website.",Holter monitor,Is walking better than jogging or is more intensive exercise required to keep a healthy heart?,Walking is better than jogging since jogging leads to early fatigue and injury to joints.,heart diseases,,
 upper body discomfort,,,,,,,,,,,,MYTH 7: Heart disease is really a man's problem.,,,"Learn more about healthy diet and nutrition at CDCï¿½s Nutrition, Physical Activity, and Obesity website.",Chest X-ray,Why is the rate of heart attacks more in men than in women?,Nature protects women till the age of 45.,heart diseases,,
 dizziness,,,,,,,,,,,,"MYTH 8: If you have heart disease, you should eat as little fat as possible.",,,"Find healthy, seasonal recipes on the Million Heartsï¿½ Recipes for a Heart-Healthy Lifestyle pageexternal icon.",Heart MRI,Can people with low blood pressure suffer heart diseases?,Extremely rare,heart diseases,,
 and shortness of breath.,,,,,,,,,,,,MYTH 9: A small heart attack is no big deal.,,,People with overweight or obesity have a higher risk for heart disease. Carrying extra weight can put extra stress on the heart and blood vessels.,CT scan,Does cholesterol accumulates right from an early age? I'm currently only 22. Do I have to worry about it only after I am above 30 years of age?,Cholesterol accumulates from childhood.,heart diseases,,
Arrhythmia: Fluttering feelings in the chest (palpitations).,,,,,,,,,,,,"MYTH 10: Angioplasty and stenting or bypass surgery ""fix"" your heart.",,,"To find out if your weight is in a healthy range, you can calculate your Body Mass Index (BMI) at CDCï¿½s Assessing Your Weight website.",,How do irregular eating habits affect the heart?,You tend to eat junk food when the habits are irregular and your body's enzyme release for digestion gets confused.,heart diseases,,
Heart failure: Shortness of breath,,,,,,,,,,,,,,,"Physical activity can help you maintain a healthy weight and lower your blood pressure, blood cholesterol, and blood sugar levels. For adults, the Surgeon General recommends 2 hours and 30 minutes of moderate-intensity exercise, like brisk walking or bicycling, every week. Children and adolescents should get 1 hour of physical activity every day.",,How can I control cholesterol content without using medicines?,"Control diet, walk and eat walnut.",heart diseases,,
 fatigue,,,,,,,,,,,,,,,"For more information, see CDC's Nutrition, Physical Activity, and Obesity website.",,Can yoga prevent heart ailments?,Yoga helps.,heart diseases,,
" or swelling of the feet, ankles, legs, abdomen or neck veins",,,,,,,,,,,,,,,"Cigarette smoking greatly increases your risk for heart disease. If you don't smoke, don't start. If you do smoke, quitting will lower your risk for heart disease. Your doctor can suggest ways to help you quit.",,Which is the best and worst food for the heart?,Fruits and vegetables are the best and the worst is oil.,heart diseases,,
,,,,,,,,,,,,,,,"For more information about tobacco use and quitting, see CDCï¿½s Smoking & Tobacco Use website.",,"Which oil is better - groundnut, sunflower, olive?",All oils are bad.,heart diseases,,
,,,,,,,,,,,,,,,"Your health care team should test your blood levels of cholesterol at least once every 4 to 6 years. If you have already been diagnosed with high cholesterol or have a family history of the condition, you may need to have your cholesterol checked more often. Talk with your health care team about this simple blood test. If you have high cholesterol, medicines and lifestyle changes can help reduce your risk for heart disease.",,What is the routine checkup one should go through? Is there any specific test?,"Routine blood test to ensure sugar, cholesterol is ok.",heart diseases,,
,,,,,,,,,,,,,,,"High blood pressure usually has no symptoms, so have it checked on a regular basis. Your health care team should measure your blood pressure at least once every 2 years if you have never had high blood pressure or other risk factors for heart disease.",,What are the first aid steps in case of a heart attack?,"Help the person into a sleeping position, place an aspirin tablet under the tongue with a sorbitrate tablet if available, and rush him to a coronary care unit since the maximum casualty takes place within the first hour.",heart diseases,,
,,,,,,,,,,,,,,,"If you have been diagnosed with high blood pressure, also called hypertension, your health care team will measure your blood pressure more often to make sure you have the condition under control. Talk with your health care team about how often you should check your blood pressure. You can check it at a doctorï¿½s office, at a pharmacy, or at home.",,How do you differentiate between pain caused by a heart attack and that caused due to gastric trouble?,Extremely difficult without ECG.,heart diseases,,
,,,,,,,,,,,,,,,"If you have high blood pressure, your health care team might recommend some changes in your lifestyle, such as lowering the sodium in your diet; your doctor may also prescribe medicine to help lower your blood pressure.",,People of about 30-40 years of age are having heart attacks and serious heart problems. What is the main cause of a steep increase in heart problems amongst youngsters?,"Increased awareness has increased incidents that are reported. The causes for this increase are sedentary lifestyles, smoking, junk food, lack of exercise in a country where people are genetically three times more vulnerable for heart attacks than Europeans and Americans.",heart diseases,,
,,,,,,,,,,,,,,,"If you have diabetes, monitor your blood sugar levels carefully. Talk with your health care team about treatment options. Your doctor may recommend certain lifestyle changes to help keep your blood sugar under control. These actions will help reduce your risk for heart disease.",,Is it possible for a person to have BP outside the normal range of 120/80 and yet be perfectly healthy?,Yes.,heart diseases,,
,,,,,,,,,,,,,,,"If you take medicine to treat high blood cholesterol, high blood pressure, or diabetes, follow your doctorï¿½s instructions carefully. Always ask questions if you donï¿½t understand something. Never stop taking your medicine without first talking to your doctor, nurse, or pharmacist.",,Marriages within close relatives can lead to heart problems for the child. Is it true?,"Yes, co-sanguinity leads to congenital abnormalities.",heart diseases,,
,,,,,,,,,,,,,,,"You and your health care team can work together to prevent or treat the medical conditions that lead to heart disease. Discuss your treatment plan regularly, and bring a list of questions to your appointments. Talk with your health care team about how heart disease and mental health disorders are related.",,Many of us have an irregular daily routine and many a times we have to stay late nights in office. Does this affect our heart? What precautions would you recommend?,"When you are young; nature protects you against all these irregularities. However, as you grow older, respect the biological clock.",heart diseases,,
,,,,,,,,,,,,,,,"If youï¿½ve already had a heart attack, your health care team will work with you to prevent another one. Your treatment plan may include medicines or surgery and lifestyle changes to reduce your risk. Be sure to take your medicines as directed and follow your doctorï¿½s instructions.",,"Will taking anti-hypertensive drugs cause some other complications (short/long term)?
","Yes, most drugs have some side effects. However, modern anti-hypertensive drugs are extremely safe.",heart diseases,,
,,,,,,,,,,,,,,,,,Will consuming more coffee/tea lead to heart attacks?,No,heart diseases,,
,,,,,,,,,,,,,,,,,Are asthma patients more prone to heart disease?,No,heart diseases,,
,,,,,,,,,,,,,,,,,How would you define junk food?,"Fried food like Kentucky, McDonalds, samosas, and even masala dosas.
",heart diseases,,
,,,,,,,,,,,,,,,,,"You mentioned that Indians are three times more vulnerable. What is the reason for this, as Europeans and Americans also eat a lot of junk food?","Every race is vulnerable to some disease and unfortunately, Indians are vulnerable for the most expensive disease.",heart diseases,,
,,,,,,,,,,,,,,,,,Does consuming bananas help reduce hypertension?,No,heart diseases,,
,,,,,,,,,,,,,,,,,Can a person help himself during a heart attack (Because we see a lot of forwarded emails on this)?," Yes. Lie down comfortably and put an aspirin tablet of any description under the tongue and ask someone to take you to the nearest coronary care unit without any delay and do not wait for the ambulance since most of the time, the ambulance does not turn up.",heart diseases,,
,,,,,,,,,,,,,,,,,"Do low white blood cells and low hemoglobin count, in any way, lead to heart problems?
",No. But it is ideal to have normal hemoglobin level to increase your exercise capacity.,heart diseases,,
,,,,,,,,,,,,,,,,,"Sometimes, due to the hectic schedule we are not able to exercise. So, does walking while doing daily chores at home or climbing the stairs in the house, work as a substitute for exercise?",Certainly. Avoid sitting continuously for more than half an hour and even the act of getting out of the chair and going to another chair and sitting helps a lot.,heart diseases,,
,,,,,,,,,,,,,,,,,Is there a relation between heart problems and blood sugar?,"Yes. A strong relationship, since diabetics are more vulnerable to heart attacks than non-diabetics.",heart diseases,,
,,,,,,,,,,,,,,,,,What are the things one needs to take care of after a heart operation?,"Diet, exercise, drugs on time, and control cholesterol, BP and weight.",heart diseases,,
,,,,,,,,,,,,,,,,,Are people working on night shifts more vulnerable to heart disease when compared to day shift workers?,No,heart diseases,,
,,,,,,,,,,,,,,,,,What are the modern anti-hypertensive drugs?,"There are hundreds of drugs and your doctor will chose the right combination for your problem, but my suggestion is to avoid the drugs and go for natural ways of controlling blood pressure by walking, dieting to reduce weight and changing attitudes towards lifestyles.",heart diseases,,
,,,,,,,,,,,,,,,,,Does disprin or similar headache pills increase the risk of heart attacks?,No,heart diseases,,
